Frame_Number,Timestamp,Timestamp_Epoch,Timestamp_Shift,Source_IP,Destination_IP,Length,Header_Rosctr,Header_PduRef,Param_Function,Param_Item_Count,Param_Item_Transport_Size,Param_Item_Length,Param_Item_DB,Param_Item_Area,Param_Address_Byte,Param_Address_Bit,Variable_Name,Data_Type,Data_Value,Data_Return_Code
12,"Mar  3, 2025 17:14:44.213507738 CET",1741018484.213507738,3.612599612,127.0.0.1,127.0.0.1,91,JOB,0,SETUP_COMMUNICATION,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
13,"Mar  3, 2025 17:14:44.213575056 CET",1741018484.213575056,3.612666930,127.0.0.1,127.0.0.1,93,ACK_DATA,0,SETUP_COMMUNICATION,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
14,"Mar  3, 2025 17:14:44.214691788 CET",1741018484.214691788,3.613783662,127.0.0.1,127.0.0.1,97,JOB,256,READ,1,BYTE,10,1,DATA_BLOCK,0,0,Machine state,BOOL,Unknown,Unknown
15,"Mar  3, 2025 17:14:44.214749725 CET",1741018484.214749725,3.613841599,127.0.0.1,127.0.0.1,101,ACK_DATA,256,READ,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Machine state,BOOL,True,SUCCESS
16,"Mar  3, 2025 17:14:44.215996903 CET",1741018484.215996903,3.615088777,127.0.0.1,127.0.0.1,97,JOB,512,READ,1,BYTE,2,0,INPUTS,0,0,Water Sensor,BOOL,Unknown,Unknown
17,"Mar  3, 2025 17:14:44.216053168 CET",1741018484.216053168,3.615145042,127.0.0.1,127.0.0.1,93,ACK_DATA,512,READ,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Water Sensor,BOOL,False,SUCCESS
18,"Mar  3, 2025 17:14:44.217239865 CET",1741018484.217239865,3.616331739,127.0.0.1,127.0.0.1,97,JOB,768,READ,1,BYTE,2,0,OUTPUTS,0,0,Pump State,BOOL,Unknown,Unknown
19,"Mar  3, 2025 17:14:44.217318553 CET",1741018484.217318553,3.616410427,127.0.0.1,127.0.0.1,93,ACK_DATA,768,READ,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Pump State,BOOL,True,SUCCESS
20,"Mar  3, 2025 17:14:44.218449327 CET",1741018484.218449327,3.617541201,127.0.0.1,127.0.0.1,111,JOB,1024,WRITE,1,BYTE,10,1,DATA_BLOCK,0,0,Machine state,BOOL,True,RESERVED
21,"Mar  3, 2025 17:14:44.218534944 CET",1741018484.218534944,3.617626818,127.0.0.1,127.0.0.1,88,ACK_DATA,1024,WRITE,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Machine state,BOOL,Unknown,SUCCESS
22,"Mar  3, 2025 17:14:44.219616569 CET",1741018484.219616569,3.618708443,127.0.0.1,127.0.0.1,111,JOB,1280,WRITE,1,BYTE,10,1,DATA_BLOCK,0,0,Machine state,BOOL,True,RESERVED
23,"Mar  3, 2025 17:14:44.219683840 CET",1741018484.219683840,3.618775714,127.0.0.1,127.0.0.1,88,ACK_DATA,1280,WRITE,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Machine state,BOOL,Unknown,SUCCESS
24,"Mar  3, 2025 17:14:44.220795459 CET",1741018484.220795459,3.619887333,127.0.0.1,127.0.0.1,97,JOB,1536,READ,1,BYTE,10,1,DATA_BLOCK,0,0,Machine state,BOOL,Unknown,Unknown
25,"Mar  3, 2025 17:14:44.220833136 CET",1741018484.220833136,3.619925010,127.0.0.1,127.0.0.1,101,ACK_DATA,1536,READ,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Machine state,BOOL,True,SUCCESS
26,"Mar  3, 2025 17:14:44.222015102 CET",1741018484.222015102,3.621106976,127.0.0.1,127.0.0.1,97,JOB,1792,READ,1,BYTE,2,0,INPUTS,0,0,Water Sensor,BOOL,Unknown,Unknown
27,"Mar  3, 2025 17:14:44.222053809 CET",1741018484.222053809,3.621145683,127.0.0.1,127.0.0.1,93,ACK_DATA,1792,READ,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Water Sensor,BOOL,False,SUCCESS
28,"Mar  3, 2025 17:14:44.223303563 CET",1741018484.223303563,3.622395437,127.0.0.1,127.0.0.1,97,JOB,2048,READ,1,BYTE,2,0,OUTPUTS,0,0,Pump State,BOOL,Unknown,Unknown
29,"Mar  3, 2025 17:14:44.223355204 CET",1741018484.223355204,3.622447078,127.0.0.1,127.0.0.1,93,ACK_DATA,2048,READ,1,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Pump State,BOOL,True,SUCCESS
